go .	가다 .
can he see us ?	그 사람이 우리를 볼 수 있나요 ?
can you drive ?	운전할 수 있어요 ?
can you pitch ?	피칭할 수 있어 ?
can you skate ?	스케이트 탈 수 있어 ?
cats are cute .	고양이는 귀여워요 .
check , please .	확인해 주세요 .
clean that up .	그거 청소해 .
close the box .	상자를 닫으세요 .
come right in .	바로 들어와 .
cook the rice .	밥을 짓다 .
could i do it ?	내가 할 수 있을까 ?
could we walk ?	우리 걸을 수 있을까 ?
crime is down .	범죄가 감소했습니다 .
dance with me .	나와 함께 춤을 춰요 .
did i ask you ?	내가 너한테 물어봤어 ?
did i blow it ?	내가 날려버렸어 ?
did i do that ?	내가 그랬어 ?
did tom drown ?	톰이 익사했나요 ?
did tom fight ?	톰이 싸웠나요 ?
did that work ?	그거 효과가 있었어 ?
did you do it ?	당신이 그것을 했나요 ?
do i know tom ?	나 톰 알아 ?
do i know him ?	내가 그 사람을 아나요 ?
do i know you ?	내가 당신을 아나요 ?
do i look fat ?	내가 뚱뚱해 보여 ?
do i look old ?	내가 늙어 보이나요 ?
do cats dream ?	고양이는 꿈을 꾸나요 ?
do fish sleep ?	물고기는 자나요 ?
do it at once .	즉시 하세요 .
do it quickly .	빨리 해라 .
do me a favor .	부탁 좀 해주세요 .
do what i say .	내가 말한대로 해 .
do you follow ?	당신은 팔로우합니까 ?
do you gamble ?	도박을 하시나요 ?
do you get it ?	당신은 그것을 이해합니까 ?
do you see me ?	나 보여 ?
dogs can swim .	개는 수영을 할 수 있습니다 .
don't be late .	늦지 마세요 .
don't be long .	오래 기다리지 마세요 .
don't be mean .	못된 소리 하지 마 .
don't be rude .	무례하게 굴지 마세요 .
don't call me .	나에게 전화하지 마세요 .
don't deny it .	그것을 부정하지 마십시오 .
don't despair .	절망하지 마십시오 .
don't do that .	그러지 마세요 .
don't do this .	이러지 마세요 .
don't get fat .	살찌지 마 .
don't give up !	포기하지 마세요 !
don't give up .	포기하지 마세요 .
don't hurt me .	나에게 상처를 주지 마세요 .
don't kill me .	나를 죽이지 마세요 .
don't mock me .	나를 조롱하지 마십시오 .
don't push it .	밀지 마세요 .
don't push me !	나를 밀지 마세요 !
don't push me .	나를 밀지 마세요 .
don't sass me .	나한테 화내지 마 .
don't tell me .	나에게 말하지 마세요 .
don't wait up .	기다리지 마세요 .
draw a circle .	원을 그립니다 .
drink it down .	그것을 마셔 라 .
drop your gun !	총을 버려라 !
dry your eyes .	눈을 말리세요 .
eat and drink .	먹고 마시다 .
eat something .	뭔가를 먹어라 .
eat your peas .	완두콩을 먹어라 .
even tom lied .	심지어 톰도 거짓말을 했어요 .
everyone dies .	모두가 죽는다 .
everyone sang .	모두가 노래를 불렀습니다 .
everyone wins .	모두가 승리합니다 .
feed the bird !	새에게 먹이를 주세요 !
feed the bird .	새에게 먹이를 주세요 .
get a haircut .	이발을 하세요 .
get back here .	여기로 돌아오세요 .
get off of me .	나에게서 떨어져 .
get some rest .	좀 쉬세요 .
get your coat .	코트 가져와 .
get your gear .	장비를 챙기세요 .
give him time .	그에게 시간을 줘 .
give it to me !	나에게 줘 !
give it to me .	나에게 줘 .
give me a few .	나에게 몇 가지를 줘 .
give me a hug .	나를 안아주세요 .
give me a sec .	잠시만 기다려 주세요 .
god bless you !	신의 축복이 있기를 !
god knows why .	신은 이유를 알고 있습니다 .
guess who won .	누가 이겼는지 맞춰보세요 .
hand it to me .	나한테 건네줘 .
hang on tight !	꽉 잡아 !
hang on tight .	꽉 잡아 .
have a cookie .	쿠키를 가지고 있어요 .
have him come .	그 사람을 오라고 하세요 .
have some ham .	햄 좀 드세요 .
he broke them .	그는 그것을 깨뜨렸다 .
he can't sing .	그 사람은 노래를 못해요 .
he can't swim .	그는 수영을 할 수 없습니다 .
he cheated me .	그는 나를 속였습니다 .
he cracked up .	그는 깨졌다 .
he drank beer .	그는 맥주를 마셨다 .
he dropped it .	그는 그것을 떨어뜨렸다 .
he dug a hole .	그는 구멍을 팠다 .
he eats a lot .	그는 많이 먹는다 .
he feels hurt .	그는 상처받았다고 느낀다 .
he fooled her .	그는 그녀를 속였습니다 .
he got caught .	그는 잡혔어요 .
he has a book .	그는 책을 가지고 있어요 .
he has a cold .	그는 감기에 걸렸어요 .
he has a maid .	그에겐 하녀가 있어요 .
he has braces .	그는 교정기를 가지고 있어요 .
he hugged her .	그는 그녀를 안아주었다 .
he ignored me .	그는 나를 무시했습니다 .
he is british .	그는 영국인이에요 .
he is english .	그는 영어예요 .
he is a thief .	그는 도둑이다 .
he is awesome .	그는 굉장해요 .
he is foolish .	그는 어리석다 .
he is my boss .	그 사람은 내 상사예요 .
he is my type !	그는 내 타입이야 !
he is no fool .	그는 바보가 아니다 .
he is out now .	그는 지금 밖에 있어요 .
he is reading .	그는 책을 읽고 있어요 .
he is running .	그는 달리고 있다 .
he is skating .	그는 스케이트를 타고 있어요 .
he is too old .	그는 너무 늙었어요 .
he killed him .	그는 그를 죽였습니다 .
he left early .	그는 일찍 떠났어요 .
he lied to me .	그 사람은 나에게 거짓말을 했어요 .
he liked that .	그는 그것을 좋아했다 .
he looks pale .	그는 창백해 보인다 .
he looks well .	그는 괜찮아 보인다 .
he loves toys .	그는 장난감을 좋아해요 .
he made me go .	그는 나를 가게 만들었다 .
he never lies .	그는 결코 거짓말을 하지 않습니다 .
he pinched me !	그 사람이 나를 꼬집었어 !
he seems kind .	그 사람은 친절한 것 같아 .
he sells cars .	그는 차를 팔아요 .
he shot at me .	그 사람이 나한테 총을 쐈어요 .
he smells bad .	그 사람 냄새가 안 좋아 .
he talks well .	그는 말을 잘해요 .
he touched me .	그는 나를 만졌다 .
he tricked me .	그는 나를 속였습니다 .
he tries hard .	그는 열심히 노력합니다 .
he walks fast .	그는 빨리 걷는다 .
he wants more .	그는 더 많은 것을 원합니다 .
he was crying .	그는 울고 있었다 .
he was stoned .	그는 돌에 맞았습니다 .
he went blind .	그는 눈이 멀었습니다 .
he's a grouch .	그 사람은 투덜대는 사람이야 .
he's a jesuit .	그 사람은 예수회 신자예요 .
he's a senior .	그는 선배입니다 .
he's a senior .	그 사람은 선배예요 .
he's a tycoon .	그는 거물입니다 .
he's addicted .	그는 중독되었습니다 .
he's adorable .	그는 사랑스럽다 .
he's after me .	그 사람이 나를 쫓고 있어요 .
he's annoying .	그 사람 짜증나 .
he's demented .	그 사람은 치매야 .
he's in tokyo .	그 사람은 도쿄에 있어요 .
he's innocent .	그는 결백합니다 .
he's insecure .	그는 불안해요 .
he's no saint .	그는 성자가 아닙니다 .
he's not home .	그 사람은 집에 없어요 .
he's not sick .	그 사람은 아프지 않아요 .
he's outraged .	그는 분노했습니다 .
he's ruthless .	그는 무자비해요 .
he's so young .	그는 너무 어려요 .
he's studying .	그 사람은 공부 중이야 .
he's too busy .	그 사람은 너무 바빠요 .
he's too slow .	그 사람은 너무 느려요 .
he's very ill .	그는 매우 아파요 .
he's your son .	그 사람은 당신의 아들이에요 .
help yourself .	스스로 도와주세요 .
here he comes .	여기 그가 온다 .
here or to go ?	여기 아니면 갈까 ?
his nose bled .	그의 코피가 났다 .
hold the door .	문을 잡아라 .
hold the line .	줄을 잡아라 .
hold the rope .	밧줄을 잡아라 .
how about you ?	당신은 어떤가요 ?
how beautiful !	얼마나 아름다운가 !
how big is he ?	그 사람은 얼마나 큽니까 ?
how big is it ?	얼마나 크나요 ?
how can i pay ?	어떻게 지불할 수 있나요 ?
how can it be ?	어떻게 그럴 수 있지 ?
how do i look ?	나 어때 보여 ?
how old is he ?	그 사람은 몇 살이에요 ?
how thrilling !	얼마나 짜릿한가 !
how was class ?	수업은 어땠어요 ?
how's the dog ?	개는 어때 ?
i acquired it .	나는 그것을 얻었다 .
i almost died .	나는 거의 죽을 뻔했다 .
i already ate .	나는 이미 먹었다 .
i always lose .	나는 항상 진다 .
i always walk .	나는 항상 걷는다 .
i am american .	나는 미국인입니다 .
i am japanese .	나는 일본인입니다 .
i am a muslim .	나는 무슬림입니다 .
i am a runner .	나는 주자입니다 .
i am all ears .	나는 모두 귀입니다 .
i am diabetic .	나는 당뇨병에 걸렸습니다 .
i am divorced .	나는 이혼했다 .
i am in paris .	나는 파리에 있어요 .
i am new here .	나는 여기에 처음 왔어요 .
i am not deaf .	나는 귀머거리가 아니다 .
i am so sorry .	정말 미안해요 .
i am very sad .	나는 매우 슬프다 .
i ate a donut .	나는 도넛을 먹었다 .
i ate quickly .	나는 빨리 먹었다 .
i baked a pie .	나는 파이를 구웠다 .
i became rich .	나는 부자가 되었다 .
i believe you .	나는 당신을 믿습니다 .
i belong here .	나는 여기에 속한다 .
i borrowed it .	나는 그것을 빌렸다 .
i bribed them .	나는 그들에게 뇌물을 주었다 .
i burned them .	내가 태웠어 .
i called home .	나는 집에 전화했다 .
i called them .	내가 그들에게 전화했어요 .
i can buy one .	내가 하나 살 수 있어요 .
i can do this .	나는 이것을 할 수 있다 .
i can explain .	내가 설명할 수 있어요 .
i can feel it .	나는 그것을 느낄 수 있다 .
i can survive .	나는 살아남을 수 있다 .
i can't dance .	나는 춤을 못 춰요 .
i can't do it .	난 할 수 없어 .
i can't leave .	나는 떠날 수 없다 .
i can't sleep .	잠이 안 와요 .
i can't smoke .	나는 담배를 피울 수 없습니다 .
i canceled it .	내가 취소했어 .
i caused this .	내가 이런 일을 일으켰다 .
i contributed .	나는 기여했다 .
i cough a lot .	기침을 많이 해요 .
i cried a lot .	나는 많이 울었다 .
i cut classes .	나 수업 빼먹었어 .
i deserved it .	나는 그럴 자격이 있었다 .
i designed it .	내가 디자인했어요 .
i despise tom .	난 톰을 경멸해요 .
i despise you .	나는 당신을 경멸합니다 .
i did it once .	내가 한 번 했어 .
i did my best .	나는 최선을 다했다 .
i did my part .	나는 내 역할을 다했다 .
i did nothing .	나는 아무것도 하지 않았다 .
i did see him .	나는 그를 보았다 .
i didn't call .	나는 전화하지 않았다 .
i didn't care .	나는 상관하지 않았다 .
i didn't know .	나는 몰랐다 .
i didn't look .	나는 보지 않았다 .
i didn't move .	나는 움직이지 않았다 .
i didn't stop .	나는 멈추지 않았다 .
i didn't vote .	나는 투표하지 않았다 .
i didn't walk .	나는 걷지 않았다 .
i do like you .	나는 당신을 정말 좋아합니다 .
i do love you .	나는 당신을 사랑합니다 .
i do remember .	나는 기억한다 .
i don't agree .	나는 동의하지 않습니다 .
i don't dance .	나는 춤을 추지 않는다 .
i don't dream .	나는 꿈을 꾸지 않는다 .
i don't drink .	나는 술을 마시지 않는다 .
i don't smoke .	나는 담배를 피우지 않습니다 .
i don't snore .	나는 코를 골지 않는다 .
i don't steal .	나는 훔치지 않습니다 .
i drank a lot .	나는 많이 마셨다 .
i dream a lot .	나는 꿈을 많이 꾼다 .
i enjoy chess .	나는 체스를 즐긴다 .
i enjoy music .	나는 음악을 즐긴다 .
i enjoy poker .	나는 포커를 좋아해요 .
i exaggerated .	나는 과장했다 .
i fear no one .	나는 아무도 두려워하지 않습니다 .
i fed the dog .	나는 개에게 먹이를 주었다 .
i feel better .	기분이 좋아졌어 .
i feel guilty .	나는 죄책감을 느낀다 .
i feel hungry .	배고파요 .
i feel it now .	나는 지금 그것을 느낀다 .
i feel lonely .	나는 외로움을 느낀다 .
i feel my age .	나는 내 나이를 느낀다 .
i feel normal .	나는 정상이라고 느낀다 .
i feel queasy .	메스꺼워요 .
i feel so bad .	기분이 너무 나빠요 .
i feel stupid .	나는 바보 같은 느낌이 든다 .
i feel unwell .	몸이 안 좋아 .
i fell asleep .	나는 잠들었다 .
i fell for it .	나는 그것에 빠졌다 .
i felt guilty .	나는 죄책감을 느꼈다 .
i felt lonely .	나는 외로움을 느꼈다 .
i felt reborn .	나는 다시 태어난 느낌이 들었습니다 .
i felt scared .	나는 겁이 났어요 .
i felt strong .	나는 강한 느낌이 들었습니다 .
i finally won .	나는 마침내 이겼다 .
i finished it .	내가 끝냈어 .
i forbid that .	나는 그것을 금지합니다 .
i forgive you .	나는 당신을 용서합니다 .
i fought back .	나는 반격했다 .
i found a job .	나는 일자리를 찾았어요 .
i found these .	내가 이걸 찾았어 .
i freaked out .	나는 놀랐다 .
i got a bonus .	나 보너스 받았어 .
i got it free .	나는 그것을 무료로 얻었다 .
i got married .	나는 결혼했다 .
i got nothing .	난 아무것도 없어 .
i got scammed .	나는 사기를 당했어요 .
i got shot at .	나는 총에 맞았습니다 .
i got thirsty .	목이 말랐어 .
i had an idea .	나한테 아이디어가 있었어 .
i had no clue .	나는 전혀 몰랐다 .
i had no idea .	나는 전혀 몰랐다 .
i had to hide .	나는 숨어야 했다 .
i had to stay .	나는 머물러야 했다 .
i had to stop .	나는 멈춰야 했다 .
i had to work .	나는 일을 해야 했어요 .
i hate celery .	나는 셀러리를 싫어한다 .
i hate coffee .	나는 커피를 싫어한다 .
i hate crowds .	나는 군중을 싫어한다 .
i hate flying .	나는 비행을 싫어한다 .
i hate losing .	나는지는 것을 싫어한다 .
i hate moving .	나는 움직이는 것을 싫어한다 .
i hate myself .	나 자신이 싫어 .
i hate school .	나는 학교를 싫어한다 .
i hate soccer .	나는 축구를 싫어한다 .
i hate winter .	나는 겨울을 싫어한다 .
i have a cold .	나 감기에 걸렸어 .
i have a date .	나 데이트 있어 .
i have a plan .	나에겐 계획이 있어요 .
i have a ring .	나한테는 반지가 있어요 .
i have a twin .	나에겐 쌍둥이가 있어요 .
i have a visa .	나에겐 비자가 있어요 .
i have a wife .	나에겐 아내가 있어요 .
i have cancer .	나는 암에 걸렸습니다 .
i have doubts .	나는 의심이 든다 .
i have failed .	나는 실패했습니다 .
i have had it .	나는 그것을 가지고 있다 .
i have orders .	나한테는 명령이 있어 .
i have rights .	나에게는 권리가 있습니다 .
i have tenure .	나에겐 재직권이 있어요 .
i have to run .	나는 달려야 해요 .
i have to try .	나는 노력해야 해 .
i have to win .	나는 이겨야 해 .
i hear sirens .	사이렌 소리가 들려요 .
i ignored tom .	난 톰을 무시했어요 .
i ignored him .	나는 그를 무시했다 .
i just did it .	방금 했어요 .
i just got up .	나 방금 일어났어 .
i just smiled .	난 그냥 웃었어 .
i kid you not .	농담이 아니야 .
i know french .	나는 프랑스어를 알아요 .
i know myself .	나는 나 자신을 안다 .
i know people .	나는 사람들을 알고 있습니다 .
i know things .	나는 여러 가지를 알고 있다 .
i let it fall .	나는 그것을 떨어뜨렸다 .
i let them go .	나는 그들을 놓아주었다 .
i like french .	나는 프랑스어를 좋아해요 .
i like camels .	나는 낙타를 좋아해요 .
i like cities .	나는 도시를 좋아해요 .
i like clocks .	나는 시계를 좋아해요 .
i like garlic .	나는 마늘을 좋아해요 .
i like grapes .	나는 포도를 좋아해요 .
i like movies .	나는 영화를 좋아해요 .
i like my job .	나는 내 일을 좋아한다 .
i like salmon .	나는 연어를 좋아해요 .
i like skiing .	나는 스키를 좋아해요 .
i like spring .	나는 봄을 좋아한다 .
i like sweets .	나는 과자를 좋아해요 .
i like to eat .	나는 먹는 것을 좋아한다 .
i like to run .	나는 달리기를 좋아한다 .
i like trains .	나는 기차를 좋아해요 .
i like winter .	나는 겨울을 좋아해요 .
i like yellow .	나는 노란색을 좋아해요 .
i live nearby .	나는 근처에 산다 .
i looked away .	나는 멀리 보았다 .
i looked down .	나는 아래를 내려다보았다 .
i lost my dog .	나는 내 개를 잃었습니다 .
i lost my key .	열쇠를 잃어버렸어요 .
i love arabic .	나는 아랍어를 좋아해요 .
i love boston .	나는 보스턴을 좋아해요 .
i love french .	나는 프랑스어를 좋아해요 .
i love monday !	나는 월요일을 좋아한다 !
i love apples .	나는 사과를 좋아해요 .
i love autumn .	나는 가을을 좋아해요 .
i love baking .	나는 베이킹을 좋아해요 .
i love camels .	나는 낙타를 좋아해요 .
i love coffee .	나는 커피를 좋아해요 .
i love hiking .	나는 하이킹을 좋아해요 .
i love horses .	나는 말을 좋아해요 .
i love movies .	나는 영화를 좋아해요 .
i love my job .	나는 내 일을 사랑해요 .
i love my mom .	나는 엄마를 사랑해요 .
i love myself .	나는 나 자신을 사랑합니다 .
i love nature .	나는 자연을 사랑합니다 .
i love poetry .	나는 시를 좋아해요 .
i love spring .	나는 봄을 좋아해요 .
i love summer .	나는 여름을 좋아해요 .
i love winter .	나는 겨울을 좋아해요 .
i made a copy .	내가 복사했어요 .
i made a deal .	나는 거래를 했다 .
i made a list .	나는 목록을 만들었습니다 .
i made coffee .	나는 커피를 만들었습니다 .
i made dinner .	내가 저녁을 만들었어요 .
i made him go .	내가 그를 가게 했어요 .
i miss boston .	보스턴이 그리워요 .
i miss my cat .	나는 내 고양이를 그리워합니다 .
i miss my mom .	엄마가 그리워요 .
i must fix it .	내가 고쳐야 해 .
i must go now .	나 지금 가야 해 .
i must go out .	나 나가야 해 .
i must insist .	나는 주장해야한다 .
i must object .	나는 반대해야 한다 .
i must refuse .	거절해야 해요 .
i must resist .	나는 저항해야 한다 .
i nearly died .	나는 거의 죽을 뻔했다 .
i need a bath .	목욕이 필요해 .
i need a coat .	코트가 필요해 .
i need a crew .	승무원이 필요해 .
i need a lamp .	램프가 필요해요 .
i need a plan .	나에겐 계획이 필요해 .
i need a ride .	차 좀 태워줘야 해 .
i need a room .	방이 필요해 .
i need a week .	일주일이 필요해 .
i need advice .	조언이 필요해요 .
i need my key .	내 열쇠가 필요해 .
i needed help .	나는 도움이 필요했어요 .
i never drink .	난 절대 술을 마시지 않아요 .
i never spoke .	난 말한 적 없어 .
i never worry .	나는 결코 걱정하지 않는다 .
i ought to go .	나는 가야 해 .
i outrank you .	내가 너보다 순위가 높아 .
i owe you one .	나는 당신에게 빚을 졌어요 .
i own a horse .	나는 말을 소유하고 있습니다 .
i own a yacht .	나는 요트를 소유하고 있습니다 .
i play violin .	나는 바이올린을 연주해요 .
i prefer dogs .	나는 개를 더 좋아해요 .
i quit my job .	나는 직장을 그만뒀다 .
i quite agree .	나는 전적으로 동의한다 .
i ran outside .	나는 밖으로 달려갔다 .
i remember it .	나는 그것을 기억한다 .
i rescheduled .	나는 일정을 다시 잡았다 .
i rescued her .	내가 그녀를 구했어요 .
i rescued him .	내가 그를 구해줬어요
i rescued you .	내가 당신을 구했어요 .
i resent that .	나는 그것이 분하다 .
i respect you .	나는 당신을 존경합니다 .
i said thanks .	나는 고맙다고 말했다 .
i saw a mouse !	나 쥐 봤어 !
i saw a plane .	나는 비행기를 보았다 .
i saw nothing .	나는 아무것도 보지 못했다 .
i saw someone .	나는 누군가를 보았다 .
i see a light .	나는 빛을 본다 .
i see a queen .	나는 여왕을 본다 .
i see someone .	나는 누군가를 본다 .
i see the boy .	나는 그 소년을 봅니다 .
i should quit .	그만둬야겠어 .
i slapped him .	나는 그 사람을 때렸다 .
i slept a lot .	나는 많이 잤다 .
i smell bacon .	베이컨 냄새가 나 .
i smell blood .	피 냄새가 나 .
i smell smoke .	연기 냄새가 나요 .
i stole a gun .	내가 총을 훔쳤어요 .
i support him .	나는 그를 지지한다 .
i surrendered .	나는 항복했다 .
i think i can .	내 생각엔 할 수 있을 것 같아 .
i told you so .	내가 그렇게 말했잖아 .
i took a bath .	나는 목욕을 했다 .
i tricked you .	내가 당신을 속였어 .
i tried again .	나는 다시 시도했다 .
i trusted you .	나는 당신을 믿었습니다 .
i use firefox .	나는 파이어폭스를 사용한다 .
i volunteered .	나는 자원했다 .
i walked here .	나는 여기로 걸어갔다 .
i want a book .	나는 책을 원해요 .
i want a pony .	나는 조랑말을 원해요 .
i want a pool .	나는 수영장을 원해요 .
i want it all .	나는 그것을 모두 원한다 .
i want to cry .	나는 울고 싶다 .
i want to die .	나는 죽고 싶다 .
i want to run .	나는 달리고 싶다 .
i want to try .	나는 시도하고 싶다 .
i wanted this .	나는 이것을 원했다 .
i was ashamed .	나는 부끄러웠다 .
i was at home .	나는 집에 있었다 .
i was at work .	나는 일하고 있었다 .
i was careful .	나는 조심했다 .
i was crushed .	나는 짓밟혔다 .
i was curious .	나는 궁금했다 .
i was dancing .	나는 춤을 추고 있었다 .
i was drugged .	나는 약을 먹었다 .
i was elected .	나는 당선됐다 .
i was excited .	나는 흥분했다 .
i was furious .	나는 화가 났다 .
i was invited .	나는 초대받았다 .
i was kidding .	농담이었어 .
i was patient .	나는 참을성이 있었다 .
i was pleased .	나는 기뻤다 .
i was relaxed .	나는 편안했다 .
i was singing .	나는 노래하고 있었다 .
i was stunned .	나는 깜짝 놀랐다 .
i was tempted .	나는 유혹을 받았다 .
i was too shy .	나는 너무 수줍어했다 .
i was trapped .	나는 갇혀 있었다 .
i was unarmed .	나는 비무장 상태였습니다 .
i was unlucky .	나는 운이 좋지 않았다 .
i was worried .	나는 걱정했다 .
i wasn't done .	난 아직 끝나지 않았어 .
i wasn't home .	나는 집에 없었다 .
i went aboard .	나는 탑승했다 .
i went hiking .	나는 하이킹을 갔다 .
i went inside .	나는 안으로 들어갔다 .
i will behave .	나는 행동할 것이다 .
i will return .	나는 돌아올 것이다 .
i woke you up .	내가 당신을 깨웠어요 .
i wore a mask .	나는 마스크를 썼다 .
i work nights .	나는 밤에 일해요 .
i worked hard .	나는 열심히 일했다 .
i write poems .	나는 시를 쓴다 .
i'd better go .	난 가는 게 좋을 것 같아 .
i'll allow it .	허락할게요 .
i'll be brief .	간략하게 말씀드리겠습니다 .
i'll be going .	나는 갈 것이다 .
i'll be ready .	난 준비될 거야 .
i'll be there .	내가 거기 있을게 .
i'll buy that .	내가 그걸 살게 .
i'll buy this .	내가 이걸 살게 .
i'll call him .	내가 그 사람에게 전화할게 .
i'll call you .	내가 전화할게 .
i'll check in .	내가 체크인할게 .
i'll clean up .	내가 청소할게 .
i'll eat here .	나는 여기서 먹을 것이다 .
i'll find you .	내가 당신을 찾을게요 .
i'll get help .	내가 도움을 받을게 .
i'll get lost .	나는 길을 잃을 것이다 .
i'll get some .	내가 좀 가져올게 .
i'll get them .	내가 사줄게 .
i'll get this .	내가 이걸 가져올게 .
i'll go ahead .	내가 먼저 갈게 .
i'll go check .	내가 가서 확인해 볼게 .
i'll go first .	내가 먼저 갈게 .
i'll help you .	내가 도와줄게 .
i'll join you .	나도 함께 할게 .
i'll kill him .	내가 그를 죽일거야 .
i'll kill you .	내가 당신을 죽일 것이다 .
i'll miss you .	나는 당신을 그리워 할 것입니다 .
i'll prove it .	내가 증명할게 .
i'll save you .	내가 당신을 구해줄 게요 .
i'll show you .	내가 보여줄게 .
i'll stop now .	이제 그만할게 .
i'll take him .	내가 그를 데려갈게 .
i'll take one .	내가 하나 가져갈게 .
i'll tell you .	내가 말해주지 .
i'll try that .	내가 그렇게 해볼게 .
i'll warn tom .	내가 톰에게 경고할게 .
i'll watch tv .	나는 TV를 볼 것이다 .
i'll watch it .	내가 지켜볼게 .
i'm a dentist .	나는 치과 의사입니다 .
i'm a patient .	나는 환자입니다 .
i'm a student .	나는 학생이에요 .
i'm a teacher .	나는 교사입니다 .
i'm a tourist .	나는 관광객이다 .
i'm a trainee .	나는 연습생이에요 .
i'm adaptable .	나는 적응력이 있어요 .
i'm afraid so .	유감이지만요 .
i'm all alone .	난 혼자야 .
i'm all right .	난 괜찮아 .
i'm all yours .	나는 모두 당신 것입니다 .
i'm ambitious .	나는 야심적이다 .
i'm an artist .	나는 예술가입니다 .
i'm an orphan .	나는 고아입니다 .
i'm attentive .	나는 세심하다 .
i'm available .	나는 시간이 있어요 .
i'm beautiful .	나는 아름답습니다 .
i'm bilingual .	나는 이중 언어를 구사합니다 .
i'm busy , too .	나도 바빠요 .
i'm committed .	나는 헌신적이다 .
i'm concerned .	걱정돼요 .
i'm confident .	나는 확신한다 .
i'm contented .	나는 만족한다 .
i'm convinced .	나는 확신한다 .
i'm dedicated .	나는 헌신적이다 .
i'm delighted .	나는 기쁘다 .
i'm depressed .	나 우울해 .
i'm desperate .	나는 필사적이다 .
i'm different .	나는 다르다 .
i'm disgusted .	나는 역겹다 .
i'm easygoing .	나는 태평해요 .
i'm exhausted .	나는 지쳤어요 .
i'm expecting .	나는 기대하고있다 .
i'm forgetful .	나는 건망증이 있어요 .
i'm home , tom .	나 집에 왔어요, 톰 .
i'm hung over .	난 매달렸어 .
i'm impatient .	나는 참을성이 없다 .
i'm important .	나는 중요하다 .
i'm impressed .	나는 감동했다 .
i'm impulsive .	나는 충동적이에요 .
i'm in boston .	나는 보스턴에 있어요 .
i'm in danger .	나는 위험에 빠졌습니다 .
i'm intrigued .	나는 흥미가 있습니다 .
i'm just lazy .	난 그냥 게으르다 .
i'm listening .	나는 듣고 있다 .
i'm miserable .	나는 비참하다 .
i'm motivated .	나는 동기가 부여되었습니다 .
i'm no expert .	나는 전문가가 아니다 .
i'm not a cop .	나는 경찰이 아니다 .
i'm not a fan .	나는 팬이 아니다 .
i'm not a kid .	나는 어린아이가 아니다 .
i'm not alone .	나는 혼자가 아니다 .
i'm not angry !	나 화난거 아니야 !
i'm not angry .	난 화나지 않았어 .
i'm not armed .	나는 무장하지 않았습니다 .
i'm not blind .	나는 장님이 아니다 .
i'm not crazy .	나 미친 게 아니야 .
i'm not dying .	난 죽지 않아 .
i'm not going .	난 안 갈 거야 .
i'm not happy .	나는 행복하지 않다 .
i'm not lying .	나는 거짓말을 하지 않습니다 .
i'm not naive .	나는 순진하지 않다 .
i'm not obese .	나는 비만이 아니다 .
i'm not ready .	난 아직 준비가 안됐어 .
i'm not short .	난 키가 작지 않아 .
i'm not tired .	나 피곤하지 않아 .
i'm not weird .	난 이상한 게 아니야 .
i'm not young .	나는 어리지 않습니다 .
i'm observant .	나는 관찰력이 뛰어나다 .
i'm on a diet .	나 다이어트 중이야 .
i'm on my way .	지금 가는 중이에요 .
i'm on parole .	난 가석방 중이야 .
i'm on strike .	나 파업 중이야 .
i'm plastered .	나는 회 반죽을 입었다 .
i'm powerless .	나는 무력하다 .
i'm realistic .	나는 현실적이다 .
i'm resentful .	나는 분개한다 .
i'm resilient .	나는 탄력적이다 .
i'm satisfied .	나는 만족한다 .
i'm saying no .	난 아니오라고 말하고 있어요 .
i'm sensitive .	나는 예민해요 .
i'm so hungry .	너무 배고파요 .
i'm so lonely .	나 너무 외로워 .
i'm so stupid .	난 정말 바보 같아 .
i'm surprised .	나는 놀랐다 .
i'm surviving .	나는 살아남았다 .
i'm terrified .	나는 겁이 난다 .
i'm the coach .	내가 코치야 .
i'm tired now .	나 지금 피곤해 .
i'm too drunk .	나 너무 취했어 .
i'm uninsured .	나는 보험이 없습니다 .
i'm unmarried .	나는 미혼이에요 .
i'm very busy .	나는 매우 바빠요 .
i'm very cold .	나는 매우 추워요 .
i'm very lazy .	나는 매우 게으르다 .
i'm very poor .	나는 매우 가난합니다 .
i'm voting no .	나는 반대에 투표할 거야 .
i'm your boss .	나는 당신의 상사입니다 .
i've finished .	나는 끝났다 .
i've found it .	나는 그것을 찾았습니다 .
i've got eyes .	나한테는 눈이 있어 .
is tom around ?	톰이 근처에 있어요 ?
is he at home ?	그 사람 집에 있어요 ?
is he correct ?	그 사람 맞나요 ?
is he looking ?	그 사람이 찾고 있어요 ?
is it damaged ?	손상되었나요 ?
is it genuine ?	진짜인가요 ?
is it helping ?	도움이 되나요 ?
is it my turn ?	내 차례야 ?
is it painful ?	고통스럽나요 ?
is it raining ?	비가 오나요 ?
is it serious ?	심각해요 ?
is it snowing ?	눈이 오나요 ?
is it too big ?	너무 크나요 ?
is that a bat ?	그거 박쥐야 ?
is that a cat ?	저거 고양이야 ?
is that a fox ?	그거 여우야 ?
is that right ?	그렇죠 ?
is that weird ?	그게 이상해요 ?
is that yours ?	그거 네 거야 ?
is there more ?	더 있나요 ?
is this a gag ?	이거 개그야 ?
is this legal ?	이게 합법적인가요 ?
is this yours ?	이게 네 거야 ?
isn't it nice ?	좋지 않아 ?
isn't it true ?	사실이 아닌가 ?
it came apart .	그것은 무너졌다 .
it can't wait .	기다릴 수가 없어 .
